Date,BTC Open in USD,BTC High in USD,BTC Low in USD,BTC Close in USD,BTC Adj Close in USD,BTC Volume in Billions,ETH Open in USD,ETH High in USD,ETH Low in USD,ETH Close in USD,ETH Adj Close in USD,ETH Volume in Billions,LTC Open in USD,LTC High in USD,LTC Low in USD,LTC Close in USD,LTC Adj Close in USD,LTC Volume in Billions,BCH Open in USD,BCH High in USD,BCH Low in USD,BCH Close in USD,BCH Adj Close in USD,BCH Volume in Billions,BNB Open in USD,BNB High in USD,BNB Low in USD,BNB Close in USD,BNB Adj Close in USD,BNB Volume in Billions
11/1/2015,315.01,495.56,301.00,377.32,377.32,2.18,0.92,1.11,0.73,0.87,0.87,0.03,3.82,5.32,2.94,3.62,3.62,0.14,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2015,377.41,469.10,349.46,430.57,430.57,2.10,0.88,1.05,0.77,0.93,0.93,0.01,3.63,3.97,3.30,3.48,3.48,0.09,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2016,430.72,462.93,354.91,368.77,368.77,1.99,0.93,2.84,0.93,2.31,2.31,0.10,3.48,3.64,2.92,3.05,3.05,0.09,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2016,369.35,448.05,367.96,437.70,437.70,1.88,2.32,6.65,2.12,6.34,6.34,0.35,3.07,3.58,3.04,3.45,3.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2016,437.92,439.65,394.04,416.73,416.73,2.33,6.32,15.26,6.31,11.40,11.40,0.91,3.45,3.45,3.13,3.26,3.26,0.04,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2016,416.76,467.96,415.83,448.32,448.32,1.81,11.40,11.85,7.06,8.81,8.81,0.50,3.25,4.23,3.20,3.66,3.66,0.07,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2016,448.48,553.96,437.39,531.39,531.39,2.23,8.78,15.05,8.43,14.08,14.08,0.87,3.66,4.86,3.64,4.65,4.65,0.10,0,0,0,0,0,0,0,0,0,0,0,0
6/1/2016,531.11,777.99,525.64,673.34,673.34,4.75,14.11,21.52,9.96,12.46,12.46,1.18,4.65,5.95,3.47,4.19,4.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2016,672.52,704.97,611.83,624.68,624.68,3.45,12.44,14.90,9.58,11.88,11.88,0.85,4.19,4.66,3.93,4.01,4.01,0.11,0,0,0,0,0,0,0,0,0,0,0,0
8/1/2016,624.60,626.12,531.33,575.47,575.47,2.69,11.89,12.46,8.20,11.67,11.67,0.51,4.06,4.06,3.52,3.80,3.80,0.08,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2016,575.55,628.82,570.81,609.73,609.73,2.00,11.67,14.43,11.25,13.22,13.22,0.35,3.80,4.20,3.76,3.84,3.84,0.06,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2016,609.93,720.40,609.48,700.97,700.97,2.12,13.20,13.53,9.56,11.00,11.00,0.31,3.85,4.23,3.75,3.99,3.99,0.08,0,0,0,0,0,0,0,0,0,0,0,0
11/1/2016,701.34,756.24,678.16,745.69,745.69,2.64,10.96,11.25,7.88,8.59,8.59,0.26,4.00,4.18,3.69,3.89,3.89,0.08,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2016,746.05,979.40,746.05,963.74,963.74,3.56,8.60,8.86,5.98,7.97,7.97,0.39,3.91,4.77,3.33,4.33,4.33,0.16,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017,963.66,1191.10,755.76,970.40,970.40,5.14,7.98,11.89,7.98,10.73,10.73,0.52,4.33,4.95,3.61,4.08,4.08,0.27,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2017,970.94,1200.39,946.69,1179.97,1179.97,4.28,10.74,16.06,10.55,15.82,15.82,0.47,4.08,4.13,3.70,3.77,3.77,0.15,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2017,1180.04,1280.31,903.71,1071.79,1071.79,10.87,15.85,55.11,15.56,50.04,50.04,4.32,3.77,7.07,3.73,6.67,6.67,0.49,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2017,1071.71,1347.91,1061.09,1347.89,1347.89,9.76,50.03,79.02,40.90,79.02,79.02,3.15,6.65,16.07,6.31,15.71,15.71,2.68,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2017,1348.30,2763.71,1348.30,2286.41,2286.41,34.26,79.32,236.96,73.09,230.67,230.67,14.68,15.71,37.33,14.88,25.30,25.30,6.50,0,0,0,0,0,0,0,0,0,0,0,0
6/1/2017,2288.33,2999.91,2212.96,2480.84,2480.84,44.48,230.89,414.76,214.48,294.92,294.92,34.41,25.34,53.55,25.30,40.35,40.35,13.60,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2017,2492.60,2916.14,1843.03,2875.34,2875.34,32.62,293.35,295.51,133.72,203.87,203.87,31.03,40.40,56.03,35.94,43.02,43.02,10.71,0.12,0.12,0.10,0.10,0.10,0.00,555.89,578.97,217.06,294.46,294.46,0.01
8/1/2017,2871.30,4736.05,2668.59,4703.39,4703.39,63.55,204.69,388.75,204.69,383.04,383.04,33.20,43.02,72.28,41.08,71.06,71.06,7.36,0.10,3.29,0.10,2.10,2.10,0.79,294.60,1091.97,200.98,588.17,588.17,17.12
